n	y	eta
760	-4.48121	4.48149
761	-4.11457	4.11526
762	-4.73101	4.94825
763	-0.48523	0.485335
764	0.331702	0.331867
765	0.852267	0.852606
766	-1.60789	1.60845
767	4.67875	4.67911
768	-1.8394	1.83955
769	2.17114	2.17884
770	1.8795	1.88006
771	2.59507	2.59528
772	-4.88578	4.88713
773	2.64704	2.6473
774	-4.40165	4.43024
775	4.62792	4.62808
776	2.35554	2.35566
777	2.98446	2.98481
778	0.607561	0.607771
779	0.847964	0.848065
780	4.66502	4.66524
781	3.15986	3.1605
782	-0.3013	0.301387
783	-4.34304	4.34333
784	3.94696	3.94727
785	-1.59003	1.59327
786	-4.18977	4.18992
787	-0.740734	0.740826
788	-0.332187	0.332268
789	3.93258	3.96554
790	2.19278	2.19296
791	1.38329	1.39362
792	4.07386	4.07986
793	-2.82715	2.85024
794	1.86698	1.86724
795	0.620682	0.621249
796	4.72105	4.72267
797	4.58914	4.59626
798	-3.38085	3.38095
799	-2.72095	2.72107
800	3.0742	3.07924
801	1.39258	1.39272
802	1.69407	1.69419
803	4.80888	4.80907
804	-2.44185	2.44202
805	1.62804	1.62814
806	2.30197	2.30257
807	-0.700747	0.701518
808	2.37909	2.38018
809	-3.94275	3.94698
810	-0.507077	0.507478
811	-4.22192	4.22581
812	-4.54153	4.54165
813	3.63372	3.634
814	-4.38668	4.38683
815	-2.35626	2.35644
816	1.60179	1.60193
817	2.57194	2.57276
818	4.68816	4.68859
819	-0.342254	0.342359
820	1.12229	1.12243
821	-3.00276	3.00372
822	-0.702876	0.703746
823	4.80009	4.80031
824	-2.2314	2.23153
825	0.92229	0.922633
826	2.53526	2.53609
827	-3.5245	3.52477
828	2.06759	2.06769
829	-4.92865	4.92899
830	-3.97801	3.97847
831	1.36842	1.36873
832	-3.2486	3.25074
833	-4.08036	4.08055
834	-3.6788	3.68599
835	-1.31412	1.31447
836	1.86318	1.86808
837	-4.13225	4.13241
838	-3.02038	3.02051
839	-2.16348	2.19928
840	-3.47483	3.475
841	-2.99025	2.9904
842	0.459178	0.45963
843	2.05416	2.05455
844	-1.40553	1.40601
845	-4.79232	4.80847
846	4.8406	4.84157
847	-2.75977	2.75997
848	-4.48353	4.48424
849	-1.96843	1.96867
850	3.73726	3.73808
851	4.28116	4.28781
852	-2.59943	2.59953
853	1.76074	1.76663
854	-4.18325	4.18336
855	4.12841	4.12875
856	3.35606	3.35622
857	-3.59764	3.59935
858	-0.376593	0.376666
859	1.34201	1.34221
860	0.58204	0.582567
861	-2.16567	2.17867
862	-1.8742	2.176
863	2.01464	2.0159
864	3.23444	3.23453
865	0.479941	0.480218
866	1.76365	1.80204
867	-2.42786	2.428
868	-0.0899902	0.0900018
869	-1.45559	1.45968
870	3.93013	3.93058
871	3.06869	3.06915
872	-1.18902	1.18912
873	-3.89857	3.89877
874	2.92758	2.92798
875	1.65225	1.65326
876	-1.00687	1.00696
877	3.93225	3.93279
878	-0.438859	0.439969
879	-4.2388	4.2393
880	0.993101	0.994289
881	4.76727	4.76775
882	-3.99776	3.9981
883	-3.07903	3.08191
884	-3.32771	3.33871
885	-3.36099	3.36111
886	3.13819	3.1383
887	2.88862	2.88888
888	4.17875	4.1789
889	-4.61645	4.617
890	1.43349	1.43401
891	-4.38406	4.38418
892	1.52238	1.52249
893	2.54555	2.54571
894	0.495086	0.495187
895	-1.1209	1.12106
896	-0.452106	0.452664
897	-0.755063	0.760127
898	0.985788	0.987128
899	-3.53761	3.53796
900	-3.36872	3.36939
901	3.2605	3.26061
902	-2.19091	2.19269
903	-3.28137	3.28163
904	0.13917	0.13921
905	4.09416	4.09437
906	4.13798	4.13809
907	-3.00072	3.0062
908	4.25829	4.25841
909	1.74389	1.77991
910	2.85159	2.85171
911	1.24156	1.24186
912	-0.730636	0.73071
913	2.94962	2.94973
914	1.6524	1.65252
915	2.91323	2.91345
916	-2.4866	2.48832
917	3.05315	3.07575
918	-2.67715	2.67725
919	2.31034	2.31073
920	-3.12603	3.12725
921	4.03469	4.03484
922	1.1146	1.11472
923	1.67232	1.68825
924	-4.42119	4.42215
925	-4.87374	4.87394
926	-0.960801	0.961761
927	-4.17012	4.17034
928	1.85432	1.85448
929	3.56372	3.5648
930	3.1915	3.19261
931	-3.20959	3.20972
932	-2.34932	2.34942
933	1.0274	1.94419
934	4.61535	4.61622
935	-2.56444	2.56463
936	4.74224	4.74243
937	-2.49873	2.50196
938	-2.49578	2.49592
939	-3.77028	3.77094
940	-2.4102	2.41038
941	-3.48658	3.48749
942	2.72381	2.72415
943	-0.0624332	0.0632736
944	-3.8772	3.87827
945	3.08486	3.08498
946	4.97823	4.97833
947	-4.98079	4.98122
948	4.71883	4.72103
949	2.60244	2.60257
950	4.38435	4.38445
951	-4.1765	4.17664
952	-3.49175	3.49261
953	-0.0165835	0.0166245
954	-2.50163	2.50325
955	2.09549	2.33134
956	2.56912	2.5693
957	-3.28282	3.31013
958	-4.04779	4.04867
959	4.87105	4.87134
960	-4.84398	4.84425
961	-3.61068	3.61078
962	2.83118	2.83136
963	-2.23684	2.2372
964	2.45514	2.45525
965	1.88418	1.88487
966	-4.59639	4.59672
967	0.96607	0.966259
968	-3.96754	3.96769
969	0.92433	0.925144
970	2.16262	2.16322
971	3.619	3.65144
972	-3.37127	3.37138
973	-4.97533	4.97574
974	1.99092	1.99102
975	-0.34404	0.344213
976	2.85163	2.85382
977	2.2812	2.28625
978	2.45381	2.45391
979	-1.76719	1.98613
980	-4.59003	4.59013
981	-3.25157	3.2517
982	2.82468	2.82501
983	-2.27455	2.27471
984	3.66399	3.66417
985	-2.61203	2.61551
986	-3.3304	3.33055
987	-4.44164	4.44248
988	-3.65685	3.65697
989	0.87928	0.879433
990	-4.52125	4.52137
991	0.481015	0.481112
992	1.58052	1.58096
993	-0.98681	0.988764
994	-2.19342	2.19389
995	3.94328	3.94403
996	2.363	2.36313
997	-0.969864	1.01863
998	3.40622	3.407
999	-0.955171	0.955589
1000	0.405367	0.40582
